Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,AdmissionTransitions,RejectionTransitions,TotalPlacementStateTransitions,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,FullResched,0.05,56.1481481481482,49.5,59.4722222222222,59.4722222222222,1440,996,2269.6044,1438.791,6,22,1468,143.633333333333,36.3666666666667,139.15,40.85,0.522481,0,0,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,HIVE,0.05,46.2407407407407,40.5555555555556,49.0833333333333,49.0833333333333,1612,1097,2599.3866,1514.5118,8,26,1646,144.1,35.9,139.7,40.3,41.189793,0,0,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,BigMECGreedy,0.05,47.2407407407407,45.3333333333333,48.1944444444444,48.1944444444444,555,384,1039.1242,562.0182,7,25,587,143.8,36.2,139.35,40.65,0.0665496,0,0,21650,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,BudgetedLNS,0.05,61.037037037037,56.2777777777778,63.4166666666667,63.4166666666667,68,52,179.255,77.776,3,19,90,143.566666666667,36.4333333333333,139.15,40.85,3.7290865,1,4,3190,62,1
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,30,11,FullResched,0.05,52.9074074074074,44.9444444444444,56.8888888888889,56.8888888888889,1379,967,2309.5052,1405.6762,5,20,1404,143.9,36.1,139.3,40.7,0.4023191,0,0,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,30,11,HIVE,0.05,48.8518518518519,47.8888888888889,49.3333333333333,49.3333333333333,1617,1125,2533.6672,1578.7494,8,24,1649,144.1,35.9,139.6,40.4,32.7887284,0,0,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,30,11,BigMECGreedy,0.05,47.6111111111111,45.8888888888889,48.4722222222222,48.4722222222222,556,377,1096.2008,573.83,10,24,590,144.2,35.8,139.85,40.15,0.0395114,0,0,21695,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,30,11,BudgetedLNS,0.05,63.4074074074074,53.2222222222222,68.5,68.5,52,29,159.6118,47.0504,0,14,66,143.666666666667,36.3333333333333,139,41,2.822589,1,6,3240,34,0
paper2_revision_v3_transition_audit_20260906,SMOKE,link_hotspot,1,2026075101,180,30,11,FullResched,0.05,49.8333333333333,47.3888888888889,51.0555555555556,51.0555555555556,1261,860,2803.74,1940.6588,5,7,1273,152.566666666667,27.4333333333333,152.8,27.2,0.2893218,0,0,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,link_hotspot,1,2026075101,180,30,11,HIVE,0.05,39.3148148148148,37.0555555555556,40.4444444444444,40.4444444444444,1552,1026,3268.6104,2137.8804,11,12,1575,153.4,26.6,153.8,26.2,23.7095591,0,0,0,0,0
