Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmissionTransitions,RejectionTransitions,TotalPlacementStateTransitions,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,1,11,0,FullResched,0.05,49.4444444444444,0,0,0,0,0,154,26,0.0971618,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,1,11,0,HIVE,0.05,47.2222222222222,0,0,0,0,0,156,24,2.0653232,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,1,11,0,BigMECGreedy,0.05,37.7777777777778,0,0,0,0,0,156,24,0.0402135,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,1,11,0,BudgetedLNS,0.05,52.2222222222222,0,0,0,0,0,154,26,0.1666588,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,2,11,0,FullResched,0.05,47.2222222222222,41,99.2167999999999,0,0,41,154,26,0.0148988,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,2,11,0,HIVE,0.05,45,59,138.1068,0,2,61,154,26,1.5472331,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,2,11,0,BigMECGreedy,0.05,43.8888888888889,23,87.9371999999999,0,1,24,155,25,0.0034888,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,2,11,0,BudgetedLNS,0.05,50.5555555555556,5,47.0564,0,0,5,154,26,0.1254013,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,3,11,0,FullResched,0.05,48.8888888888889,47,107.5784,0,1,48,153,27,0.0093492,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,3,11,0,HIVE,0.05,40.5555555555556,61,109.9656,0,1,62,153,27,1.6943938,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,3,11,0,BigMECGreedy,0.05,48.8888888888889,24,78.8435999999999,0,1,25,154,26,0.0017798,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,3,11,0,BudgetedLNS,0.05,57.7777777777778,2,15.2652,0,2,4,152,28,0.1928643,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,4,11,0,FullResched,0.05,54.4444444444444,46,65.4328,0,1,47,152,28,0.0173701,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,4,11,0,HIVE,0.05,42.2222222222222,54,84.0825999999999,0,0,54,153,27,1.7660918,0,NaN,0,0,0
