Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v2_20260731,ABLATION,compute_hotspot,1,2026074101,180,200,51,BudgetedLNS,0.05,61.5361111111111,56.4,63.2481481481482,63.7777777777778,490,419,1046.7646,668.1956,142.59,37.41,139.213333333333,40.7866666666667,62.9159721,1,2,21173,448,3
paper2_revision_v2_20260731,ABLATION,compute_hotspot,1,2026074101,180,200,51,LNSColdStart,0.05,57.0527777777778,49.3666666666667,59.6148148148148,59.1944444444444,9606,7252,15211.6856,10405.339,142.605,37.395,139.14,40.86,30.7937128,199,53,57,9,200
paper2_revision_v2_20260731,ABLATION,compute_hotspot,1,2026074101,180,200,51,LNSGlobalPool,0.05,68.0916666666667,61.8222222222222,70.1814814814815,69.6666666666667,440,347,789.937800000001,459.3578,142.525,37.475,139.086666666667,40.9133333333333,306.8156784,1,7,111709,434,6
paper2_revision_v2_20260731,ABLATION,compute_hotspot,1,2026074101,180,200,51,LNSNoGuard,0.05,62.1138888888889,55.5333333333333,64.3074074074074,66.1666666666667,347,280,799.2978,453.25,142.61,37.39,139.22,40.78,68.4095178,0,12,21603,318,5
paper2_revision_v2_20260731,ABLATION,compute_hotspot,2,2026074102,180,200,51,BudgetedLNS,0.05,65.575,56.0333333333333,68.7555555555556,69.5833333333333,109,49,358.186400000001,57.6687999999999,142.5,37.5,139.0,41.0,53.303057,1,1,21586,94,0
paper2_revision_v2_20260731,ABLATION,compute_hotspot,2,2026074102,180,200,51,LNSColdStart,0.05,54.3833333333333,45.7333333333333,57.2666666666667,57.8333333333333,9437,7172,15136.6164,10450.4606,142.805,37.195,139.333333333333,40.6666666666667,25.8659512,199,50,108,0,199
paper2_revision_v2_20260731,ABLATION,compute_hotspot,2,2026074102,180,200,51,LNSGlobalPool,0.05,68.6583333333333,60.1888888888889,71.4814814814815,71.2222222222222,293,218,589.925200000001,270.6248,142.41,37.59,139.0,41.0,278.5231178,1,4,113725,283,0
paper2_revision_v2_20260731,ABLATION,compute_hotspot,2,2026074102,180,200,51,LNSNoGuard,0.05,65.575,56.0333333333333,68.7555555555556,69.5833333333333,109,49,358.186400000001,57.6687999999999,142.5,37.5,139.0,41.0,50.1210341,0,1,21600,94,0
paper2_revision_v2_20260731,ABLATION,compute_hotspot,3,2026074103,180,200,51,BudgetedLNS,0.05,62.7444444444444,54.1333333333333,65.6148148148148,63.8888888888889,152,96,517.2006,142.7442,142.265,37.735,138.76,41.24,63.6550644,1,1,21596,131,0
paper2_revision_v2_20260731,ABLATION,compute_hotspot,3,2026074103,180,200,51,LNSColdStart,0.05,52.2388888888889,47.6,53.7851851851852,53.5277777777778,9132,6946,14494.5118,9946.0492,142.91,37.09,139.533333333333,40.4666666666667,29.1890211,199,55,108,4,199
