Scenario,Algorithm,Runs,MeanSatisfactionMean,MeanSatisfactionCI95Low,MeanSatisfactionCI95High,TotalMigrationsMean,TotalMigrationsCI95Low,TotalMigrationsCI95High,MigrationMBMean,MigrationMBCI95Low,MigrationMBCI95High,MeanAdmittedTasksMean,MeanAdmittedTasksCI95Low,MeanAdmittedTasksCI95High,MeanRejectedTasksMean,MeanRejectedTasksCI95Low,MeanRejectedTasksCI95High
compute_hotspot,BigMECGreedy,30,43.23990740740741,41.08340046296296,45.33287037037038,4131.433333333333,3957.7658333333334,4305.900833333333,6059.779993333333,5804.423912500002,6306.578760333335,139.726,139.64566666666667,139.80883333333335,40.274,40.192166666666665,40.35433749999999
compute_hotspot,BudgetedLNS,30,61.67092592592592,60.14470370370371,63.129724537037006,336.1666666666667,288.8,387.03333333333336,527.8961866666666,451.728493,608.6672841666659,139.20999999999998,139.1315,139.29166666666663,40.78999999999999,40.710166666666666,40.869
compute_hotspot,FullResched,30,53.12296296296295,52.01054166666667,54.19083333333333,9733.833333333334,9511.0975,9957.369999999999,14215.442373333331,13944.828376999998,14495.273765,139.56933333333333,139.4945,139.64116666666666,40.43066666666667,40.359333333333325,40.506499999999996
compute_hotspot,HIVE,30,47.852407407407405,46.98360416666667,48.688333333333325,10784.133333333333,10476.898333333333,11106.7,15234.263013333331,14817.588254166667,15654.277845,139.70699999999997,139.65066249999998,139.76316666666665,40.293000000000006,40.23633333333333,40.349999999999994
link_hotspot,BigMECGreedy,30,37.434444444444445,34.65888194444444,40.183006944444436,4207.866666666667,3989.5325,4430.668333333333,9403.812700000002,8588.070279833333,10228.151573166668,153.42033333333333,153.3471666666667,153.491,26.579666666666665,26.5095,26.653666666666663
link_hotspot,BudgetedLNS,30,52.92805555555556,51.18284027777778,54.52362499999998,321.3666666666667,268.56666666666666,375.93333333333334,2054.996553333333,1675.7975228333335,2448.997419333333,152.89066666666668,152.81782916666666,152.97266666666667,27.109333333333332,27.027495833333326,27.182666666666666
link_hotspot,FullResched,30,45.1099074074074,43.6369375,46.55780555555555,8897.8,8631.231666666667,9179.3675,19415.577066666665,18717.20434933333,20135.2299765,153.2115,153.14282916666664,153.28333750000002,26.788500000000003,26.717166666666675,26.857666666666667
link_hotspot,HIVE,30,43.28166666666667,42.20138194444445,44.35500231481483,10248.166666666666,9902.8625,10597.840833333334,20072.27766,19153.71013433333,20994.397186000002,153.35983333333334,153.28833333333333,153.43233333333328,26.640166666666666,26.56816666666667,26.71216666666667
coupled_hotspot,BigMECGreedy,30,40.24249999999999,38.06046064814814,42.35734722222221,3831.8,3649.165833333333,4013.6674999999996,5595.980180000001,5343.601975999999,5855.4584380000015,141.27550000000002,141.1995,141.35466666666665,38.7245,38.644833333333345,38.80116666666667
coupled_hotspot,BudgetedLNS,30,60.160555555555554,58.640168981481466,61.53584722222222,337.0,285.165,395.53333333333336,510.65368000000007,428.7298323333334,602.1955973333332,140.9045,140.846,140.95966666666666,39.0955,39.040499999999994,39.15383333333333
coupled_hotspot,FullResched,30,51.76638888888888,49.61384027777776,53.60079166666665,9620.233333333334,9429.733333333334,9806.700833333334,14154.74497333333,13895.562880666666,14421.12304683333,141.04283333333333,140.9705,141.11567083333333,38.95716666666667,38.883,39.02916666666667
coupled_hotspot,HIVE,30,48.887314814814815,46.97888657407407,50.64973842592592,10349.666666666666,10118.663333333332,10573.9675,14576.476466666667,14249.560594666664,14893.010860666669,141.157,141.10233333333332,141.21266666666668,38.84299999999999,38.787166666666664,38.89849999999999
