Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,1,1,1,BigMECGreedy,0.05,34.4444444444444,0,0.0,142,38,0.0538385,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,2,1,1,BigMECGreedy,0.05,52.2222222222222,19,28.801,140,40,0.010513,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,3,1,1,BigMECGreedy,0.05,50.0,13,19.444,140,40,0.0018604,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,4,1,1,BigMECGreedy,0.05,42.7777777777778,14,21.1694,140,40,0.0009895,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,5,1,1,BigMECGreedy,0.05,51.1111111111111,20,30.5264,138,42,0.0043616,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,6,1,1,BigMECGreedy,0.05,45.5555555555556,16,23.6248,138,42,0.0007377,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,7,1,1,BigMECGreedy,0.05,40.0,13,19.444,138,42,0.0009952,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,8,1,1,BigMECGreedy,0.05,43.8888888888889,11,15.9932,138,42,0.0010999,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,9,1,1,BigMECGreedy,0.05,44.4444444444444,18,29.0664,138,42,0.0008996,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,10,1,1,BigMECGreedy,0.05,54.4444444444444,16,23.6248,138,42,0.0007596,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,11,1,1,BigMECGreedy,0.05,38.3333333333333,22,30.991,138,42,0.0004767,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,12,1,1,BigMECGreedy,0.05,45.0,13,18.4486,138,42,0.0006153,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,13,1,1,BigMECGreedy,0.05,44.4444444444444,9,15.5286,140,40,0.0009265,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,14,1,1,BigMECGreedy,0.05,51.6666666666667,16,22.6294,140,40,0.0009395,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,15,1,1,BigMECGreedy,0.05,48.8888888888889,19,26.8102,140,40,0.0012622,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,16,1,1,BigMECGreedy,0.05,51.1111111111111,27,36.6318,140,40,0.0008412,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,17,1,1,BigMECGreedy,0.05,46.1111111111111,24,36.4326,141,39,0.0017707,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,18,1,1,BigMECGreedy,0.05,60.5555555555556,21,29.2656,140,40,0.0012484,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,19,1,1,BigMECGreedy,0.05,53.3333333333333,20,28.5356,140,40,0.0014483,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,20,1,1,BigMECGreedy,0.05,43.8888888888889,17,23.3594,142,38,0.0011211,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,21,1,1,BigMECGreedy,0.05,44.4444444444444,21,32.2518,141,39,0.0008815,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,22,1,1,BigMECGreedy,0.05,41.6666666666667,16,22.6294,141,39,0.001186,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,23,1,1,BigMECGreedy,0.05,52.2222222222222,20,28.5356,140,40,0.0009392,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,24,1,1,BigMECGreedy,0.05,55.0,22,31.9864,139,41,0.0008997,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,25,1,1,BigMECGreedy,0.05,46.6666666666667,17,24.3548,138,42,0.0013473,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,26,1,1,BigMECGreedy,0.05,54.4444444444444,19,25.8148,138,42,0.0011403,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,27,1,1,BigMECGreedy,0.05,53.3333333333333,15,18.9132,137,43,0.0008456,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,28,1,1,BigMECGreedy,0.05,43.8888888888889,16,25.6156,138,42,0.0011146,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,29,1,1,BigMECGreedy,0.05,45.5555555555556,19,31.7872,138,42,0.0012133,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,30,1,1,BigMECGreedy,0.05,43.3333333333333,21,32.2518,138,42,0.0010457,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,31,1,1,BigMECGreedy,0.05,46.6666666666667,18,27.0756,138,42,0.0010216,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,32,1,1,BigMECGreedy,0.05,39.4444444444444,22,31.9864,139,41,0.0011349,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,33,1,1,BigMECGreedy,0.05,53.3333333333333,20,29.531,139,41,0.0012298,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,34,1,1,BigMECGreedy,0.05,57.2222222222222,22,31.9864,139,41,0.001257,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,35,1,1,BigMECGreedy,0.05,47.7777777777778,18,25.0848,140,40,0.0021396,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,36,1,1,BigMECGreedy,0.05,51.6666666666667,13,18.4486,140,40,0.0016844,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,37,1,1,BigMECGreedy,0.05,46.6666666666667,15,20.904,141,39,0.0009369,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,38,1,1,BigMECGreedy,0.05,47.2222222222222,19,27.8056,141,39,0.0013086,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,39,1,1,BigMECGreedy,0.05,47.7777777777778,25,36.1672,141,39,0.0007301,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,40,1,1,BigMECGreedy,0.05,59.4444444444444,27,39.618,140,40,0.0010243,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,41,1,1,BigMECGreedy,0.05,46.1111111111111,11,14.9978,141,39,0.0005909,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,42,1,1,BigMECGreedy,0.05,57.7777777777778,26,38.888,140,40,0.0015538,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,43,1,1,BigMECGreedy,0.05,54.4444444444444,16,22.6294,140,40,0.0013674,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,44,1,1,BigMECGreedy,0.05,43.8888888888889,15,20.904,140,40,0.000842,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,45,1,1,BigMECGreedy,0.05,53.8888888888889,19,26.8102,138,42,0.0011606,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,46,1,1,BigMECGreedy,0.05,57.7777777777778,16,22.6294,138,42,0.0015329,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,47,1,1,BigMECGreedy,0.05,55.0,20,27.5402,138,42,0.0006907,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,48,1,1,BigMECGreedy,0.05,47.7777777777778,17,25.3502,138,42,0.000944,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,49,1,1,BigMECGreedy,0.05,41.1111111111111,13,17.4532,138,42,0.0011885,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,50,1,1,BigMECGreedy,0.05,39.4444444444444,17,24.3548,138,42,0.0008048,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,51,1,1,BigMECGreedy,0.05,43.3333333333333,24,38.4234,138,42,0.0008213,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,52,1,1,BigMECGreedy,0.05,45.0,17,25.3502,139,41,0.0006268,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,53,1,1,BigMECGreedy,0.05,52.2222222222222,22,33.9772,140,40,0.0009163,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,54,1,1,BigMECGreedy,0.05,53.3333333333333,22,33.9772,139,41,0.0012304,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,55,1,1,BigMECGreedy,0.05,49.4444444444444,28,36.3664,140,40,0.0009019,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,56,1,1,BigMECGreedy,0.05,57.7777777777778,18,24.0894,140,40,0.0011259,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,57,1,1,BigMECGreedy,0.05,46.1111111111111,18,26.0802,141,39,0.0010926,0,,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,58,1,1,BigMECGreedy,0.05,55.0,18,27.0756,140,40,0.0005284,0,,0,0,0
