Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,200,51,BigMECGreedy,0.05,48.5083333333334,44.5666666666667,49.8222222222222,49.6388888888889,3766,2779,6908.2048,4035.3964,142.745,37.255,139.313333333333,40.6866666666667,0.235008,0,0,142810,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,200,51,BudgetedLNS,0.05,61.5361111111111,56.4,63.2481481481482,63.7777777777778,490,419,1046.7646,668.1956,142.59,37.41,139.213333333333,40.7866666666667,33.5218846,1,2,21173,448,3
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,200,51,FullResched,0.05,57.0388888888889,49.3111111111111,59.6148148148148,59.1944444444444,9605,7252,15183.3452,10405.339,142.605,37.395,139.14,40.86,4.5492608,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,200,51,HIVE,0.05,46.6666666666667,41.0111111111111,48.5518518518519,50.1944444444444,11024,8257,16753.4016,11514.2548,143.19,36.81,139.846666666667,40.1533333333333,394.8338895,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,2,2026074102,180,200,51,BigMECGreedy,0.05,46.0666666666666,45.2888888888889,46.3259259259259,46.8888888888889,3565,2574,6281.5398,3903.6636,143.275,36.725,139.973333333333,40.0266666666667,0.1865501,0,0,143340,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,2,2026074102,180,200,51,BudgetedLNS,0.05,65.575,56.0333333333333,68.7555555555556,69.5833333333333,109,49,358.186400000001,57.6687999999999,142.5,37.5,139.0,41.0,34.0309922,1,1,21586,94,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,2,2026074102,180,200,51,FullResched,0.05,54.3833333333333,45.7333333333333,57.2666666666667,57.8333333333333,9437,7172,15136.6164,10450.4606,142.805,37.195,139.333333333333,40.6666666666667,4.740961,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,2,2026074102,180,200,51,HIVE,0.05,48.2333333333333,46.8777777777778,48.6851851851852,50.3888888888889,11031,8246,17533.511,11570.9258,143.01,36.99,139.646666666667,40.3533333333333,397.7302003,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,3,2026074103,180,200,51,BigMECGreedy,0.05,39.9777777777778,40.5888888888889,39.7740740740741,41.4166666666667,4344,3271,6513.4472,4669.2868,143.385,36.615,139.98,40.02,0.2065717,0,0,143450,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,3,2026074103,180,200,51,BudgetedLNS,0.05,62.7444444444444,54.1333333333333,65.6148148148148,63.8888888888889,152,96,517.2006,142.7442,142.265,37.735,138.76,41.24,39.4764774,1,1,21596,131,0
