Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,1,51,0,BigMECGreedy,0.05,37.7777777777778,0,0.0,156,24,0.0661688,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,2,51,0,BigMECGreedy,0.05,43.8888888888889,23,87.9371999999999,155,25,0.0041002,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,3,51,0,BigMECGreedy,0.05,48.8888888888889,24,78.8435999999999,154,26,0.0014208,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,4,51,0,BigMECGreedy,0.05,46.1111111111111,17,27.341,152,28,0.0015625,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,5,51,0,BigMECGreedy,0.05,46.1111111111111,12,17.7186,153,27,0.0061034,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,6,51,0,BigMECGreedy,0.05,48.3333333333333,19,42.6062,152,28,0.0010187,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,7,51,0,BigMECGreedy,0.05,46.6666666666667,21,70.6812,152,28,0.0008622,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,8,51,0,BigMECGreedy,0.05,45.5555555555556,20,70.9466,151,29,0.0011962,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,9,51,0,BigMECGreedy,0.05,47.2222222222222,14,34.9746,151,29,0.0013253,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,10,51,0,BigMECGreedy,0.05,42.7777777777778,21,46.057,151,29,0.0007308,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,11,51,0,BigMECGreedy,0.05,43.3333333333333,27,82.0289999999999,152,28,0.0011138,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,12,51,0,BigMECGreedy,0.05,48.3333333333333,20,69.9512,151,29,0.0014055,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,13,51,0,BigMECGreedy,0.05,47.7777777777778,16,26.611,151,29,0.0010441,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,14,51,0,BigMECGreedy,0.05,43.3333333333333,22,74.3973999999999,153,27,0.001187,0,,0,0,0
paper2_revision_v2_20260731,ONSET,compute_hotspot,1,2026074101,180,15,51,0,BigMECGreedy,0.05,41.1111111111111,26,77.3174,153,27,0.000841,0,,0,0,0
