Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,1,1,1,BudgetedLNS,0.05,55.5555555555556,0,0,140,40,0.9748107,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,2,1,1,BudgetedLNS,0.05,51.6666666666667,5,8.627,140,40,0.4032454,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,3,1,1,BudgetedLNS,0.05,59.4444444444444,3,5.1762,139,41,0.7468313,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,4,1,1,BudgetedLNS,0.05,58.3333333333333,0,0,139,41,0.4318089,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,5,1,1,BudgetedLNS,0.05,67.7777777777778,0,0,138,42,0.1891424,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,6,1,1,BudgetedLNS,0.05,68.3333333333333,7,12.0778,138,42,0.361638,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,7,1,1,BudgetedLNS,0.05,68.3333333333333,8,13.8032,138,42,0.2746235,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,8,1,1,BudgetedLNS,0.05,68.3333333333333,1,0.73,138,42,0.1982626,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,9,1,1,BudgetedLNS,0.05,67.7777777777778,2,3.4508,138,42,0.182612,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,10,1,1,BudgetedLNS,0.05,67.2222222222222,0,0,138,42,0.1731677,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,11,1,1,BudgetedLNS,0.05,67.7777777777778,0,0,138,42,0.1919408,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,12,1,1,BudgetedLNS,0.05,68.3333333333333,0,0,138,42,0.1928662,1,9,0,0,0
