Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,200,1,BigMECGreedy,0.05,49.4527777777778,,49.4527777777778,47.1111111111111,3659,3659,5315.8478,5315.8478,139.305,40.695,139.305,40.695,0.2294592,0,0,139300,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,200,1,BudgetedLNS,0.05,64.0,,64.0,63.9722222222222,236,236,358.4198,358.4198,138.895,41.105,138.895,41.105,33.419711,0,0,21619,205,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,200,1,FullResched,0.05,59.3861111111111,,59.3861111111111,58.7222222222222,9692,9692,13908.581,13908.581,139.12,40.88,139.12,40.88,4.9044408,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,200,1,HIVE,0.05,48.65,,48.65,49.2222222222222,10980,10980,15276.843,15276.843,139.815,40.185,139.815,40.185,386.8589167,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,2,2026074102,180,200,1,BigMECGreedy,0.05,46.5722222222222,,46.5722222222222,46.7777777777778,3397,3397,5132.551,5132.551,139.945,40.055,139.945,40.055,0.2736383,0,0,139945,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,2,2026074102,180,200,1,BudgetedLNS,0.05,68.7638888888889,,68.7638888888889,67.1944444444444,148,148,212.557,212.557,139.035,40.965,139.035,40.965,47.4838481,0,0,21476,149,1
paper2_revision_v2_20260731,FORMAL,compute_hotspot,2,2026074102,180,200,1,FullResched,0.05,57.2361111111111,,57.2361111111111,55.8611111111111,9495,9495,13843.4076,13843.4076,139.32,40.68,139.32,40.68,7.0810419,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,2,2026074102,180,200,1,HIVE,0.05,48.7527777777778,,48.7527777777778,48.6666666666667,11073,11073,15527.8866,15527.8866,139.645,40.355,139.645,40.355,563.7395432,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,3,2026074103,180,200,1,BigMECGreedy,0.05,39.9138888888889,,39.9138888888889,40.6111111111111,4299,4299,6138.4056,6138.4056,139.92,40.08,139.92,40.08,0.2604993,0,0,139915,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,3,2026074103,180,200,1,BudgetedLNS,0.05,65.4666666666666,,65.4666666666666,63.5,136,136,204.7924,204.7924,138.76,41.24,138.76,41.24,47.2980862,0,0,21534,134,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,3,2026074103,180,200,1,FullResched,0.05,54.175,,54.175,55.0833333333333,9223,9223,13210.8532,13210.8532,139.47,40.53,139.47,40.53,6.8081949,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,3,2026074103,180,200,1,HIVE,0.05,50.4111111111111,,50.4111111111111,50.4722222222222,9856,9856,13635.118,13635.118,139.86,40.14,139.86,40.14,479.9626452,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,4,2026074104,180,200,1,BigMECGreedy,0.05,39.6583333333333,,39.6583333333333,38.9444444444444,4298,4298,6435.3002,6435.3002,139.885,40.115,139.885,40.115,0.3117961,0,0,139885,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,4,2026074104,180,200,1,BudgetedLNS,0.05,65.55,,65.55,57.4722222222222,144,144,204.66,204.66,139.12,40.88,139.12,40.88,52.601773,2,3,21363,131,4
paper2_revision_v2_20260731,FORMAL,compute_hotspot,4,2026074104,180,200,1,FullResched,0.05,53.625,,53.625,53.9166666666667,10123,10123,14665.1686,14665.1686,139.915,40.085,139.915,40.085,7.5414924,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,4,2026074104,180,200,1,HIVE,0.05,47.4083333333333,,47.4083333333333,47.8333333333333,11153,11153,15718.6748,15718.6748,139.76,40.24,139.76,40.24,573.9370464,0,0,0,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,5,2026074105,180,200,1,BigMECGreedy,0.05,40.1638888888889,,40.1638888888889,40.4722222222222,4686,4686,6692.6598,6692.6598,139.575,40.425,139.575,40.425,0.2893978,0,0,139580,0,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,5,2026074105,180,200,1,BudgetedLNS,0.05,56.825,,56.825,54.3055555555555,390,390,588.297,588.297,139.075,40.925,139.075,40.925,59.1136248,1,2,21385,328,4
