Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v2_20260731,FORMAL,compute_hotspot,1,2026074101,180,200,1,BudgetedLNS,0.05,64.0,,64.0,63.9722222222222,236,236,358.4198,358.4198,138.895,41.105,138.895,41.105,33.419711,0,0,21619,205,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,2,2026074102,180,200,1,BudgetedLNS,0.05,68.7638888888889,,68.7638888888889,67.1944444444444,148,148,212.557,212.557,139.035,40.965,139.035,40.965,47.4838481,0,0,21476,149,1
paper2_revision_v2_20260731,FORMAL,compute_hotspot,3,2026074103,180,200,1,BudgetedLNS,0.05,65.4666666666666,,65.4666666666666,63.5,136,136,204.7924,204.7924,138.76,41.24,138.76,41.24,47.2980862,0,0,21534,134,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,4,2026074104,180,200,1,BudgetedLNS,0.05,65.55,,65.55,57.4722222222222,144,144,204.66,204.66,139.12,40.88,139.12,40.88,52.601773,2,3,21363,131,4
paper2_revision_v2_20260731,FORMAL,compute_hotspot,5,2026074105,180,200,1,BudgetedLNS,0.05,56.825,,56.825,54.3055555555555,390,390,588.297,588.297,139.075,40.925,139.075,40.925,59.1136248,1,2,21385,328,4
paper2_revision_v2_20260731,FORMAL,compute_hotspot,6,2026074106,180,200,1,BudgetedLNS,0.05,58.8027777777778,,58.8027777777778,52.6944444444444,286,286,430.7542,430.7542,139.08,40.92,139.08,40.92,53.939119,1,2,21178,249,3
paper2_revision_v2_20260731,FORMAL,compute_hotspot,7,2026074107,180,200,1,BudgetedLNS,0.05,55.0055555555555,,55.0055555555555,53.0555555555556,719,719,1112.156,1112.156,138.995,41.005,138.995,41.005,57.6287607,5,3,20632,618,14
paper2_revision_v2_20260731,FORMAL,compute_hotspot,8,2026074108,180,200,1,BudgetedLNS,0.05,62.6277777777777,,62.6277777777777,61.5277777777778,262,262,412.2388,412.2388,139.255,40.745,139.255,40.745,56.4644278,1,2,21509,232,1
paper2_revision_v2_20260731,FORMAL,compute_hotspot,9,2026074109,180,200,1,BudgetedLNS,0.05,66.0916666666667,,66.0916666666667,64.4444444444444,228,228,381.4464,381.4464,139.015,40.985,139.015,40.985,35.5784066,0,0,21601,189,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,10,2026074110,180,200,1,BudgetedLNS,0.05,63.8972222222222,,63.8972222222222,62.6388888888889,301,301,446.6812,446.6812,139.0,41.0,139.0,41.0,48.2141916,2,3,21352,289,5
paper2_revision_v2_20260731,FORMAL,compute_hotspot,11,2026074111,180,200,1,BudgetedLNS,0.05,58.3694444444445,,58.3694444444445,55.7222222222222,650,650,1028.9378,1028.9378,139.195,40.805,139.195,40.805,46.5231916,3,1,20885,600,9
paper2_revision_v2_20260731,FORMAL,compute_hotspot,12,2026074112,180,200,1,BudgetedLNS,0.05,66.1777777777778,,66.1777777777778,65.8888888888889,159,159,210.633,210.633,139.095,40.905,139.095,40.905,55.0580541,0,0,21536,159,1
paper2_revision_v2_20260731,FORMAL,compute_hotspot,13,2026074113,180,200,1,BudgetedLNS,0.05,62.4416666666666,,62.4416666666666,59.8888888888889,344,344,565.6664,565.6664,139.415,40.585,139.415,40.585,56.7622549,1,3,21490,321,2
