Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,200,1,BudgetedLNS,0.01,59.1583333333334,,59.1583333333334,60.1944444444444,174,174,299.2242,299.2242,139.125,40.875,139.125,40.875,10.3538782,10,4,3628,90,45
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,2,2026074102,180,200,1,BudgetedLNS,0.01,59.1472222222222,,59.1472222222222,57.25,75,75,128.4096,128.4096,139.12,40.88,139.12,40.88,13.2793247,0,0,3641,71,35
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,3,2026074103,180,200,1,BudgetedLNS,0.01,60.25,,60.25,58.9166666666667,241,241,415.8214,415.8214,139.2,40.8,139.2,40.8,8.0742756,21,4,3082,158,79
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,4,2026074104,180,200,1,BudgetedLNS,0.01,51.7333333333333,,51.7333333333333,50.4166666666667,224,224,382.508,382.508,140.12,39.88,140.12,39.88,9.0953808,16,4,2831,128,62
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,5,2026074105,180,200,1,BudgetedLNS,0.01,44.3222222222222,,44.3222222222222,44.1111111111111,351,351,563.8086,563.8086,139.625,40.375,139.625,40.375,9.2266796,49,5,2684,166,72
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,6,2026074106,180,200,1,BudgetedLNS,0.01,48.4833333333334,,48.4833333333334,48.25,188,188,290.5316,290.5316,139.43,40.57,139.43,40.57,10.0544083,21,3,3041,118,47
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,7,2026074107,180,200,1,BudgetedLNS,0.01,50.6638888888889,,50.6638888888889,47.7777777777778,230,230,391.865,391.865,139.17,40.83,139.17,40.83,11.1926422,20,2,3771,109,53
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,8,2026074108,180,200,1,BudgetedLNS,0.01,57.4,,57.4,56.5,204,204,351.9816,351.9816,139.45,40.55,139.45,40.55,8.9812806,26,3,2824,148,74
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,9,2026074109,180,200,1,BudgetedLNS,0.01,58.6333333333334,,58.6333333333334,60.1388888888889,215,215,369.9656,369.9656,139.435,40.565,139.435,40.565,10.3362565,18,3,3063,138,69
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,10,2026074110,180,200,1,BudgetedLNS,0.01,59.3694444444444,,59.3694444444444,54.5,238,238,370.8292,370.8292,139.235,40.765,139.235,40.765,9.2256314,20,4,2588,158,66
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,11,2026074111,180,200,1,BudgetedLNS,0.01,51.525,,51.525,51.9166666666667,199,199,342.3592,342.3592,139.605,40.395,139.605,40.395,11.9847855,23,7,3678,99,49
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,12,2026074112,180,200,1,BudgetedLNS,0.01,59.4222222222222,,59.4222222222222,57.1111111111111,148,148,252.373,252.373,139.615,40.385,139.615,40.385,9.2633242,8,2,2926,101,49
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,13,2026074113,180,200,1,BudgetedLNS,0.01,56.4194444444444,,56.4194444444444,55.6111111111111,197,197,339.9038,339.9038,139.5,40.5,139.5,40.5,9.0443063,10,4,3175,130,65
